user_id,generation,country,subscription_status,registration_cohort,tenure_years,tenure_year_group,active_score,reactive_score,total_engagement_score,daily_active_hours_group,days_since_last_login,inactivity_by_tenure,status
1350442,Gen Z,India,Business,2016–2018 Expansion,9,8–10 years,0.40070,0.55695,0.95765,2–4 hours,284,0.08645, Recently active
57271,Gen X,Other,Premium,2013–2015 Growth,12,10+ years,0.09721,0.17905,0.27626,<1 hour,198,0.04521, Recently active
222081,Millennials,India,Premium,2013–2015 Growth,13,10+ years,0.39295,0.60457,0.99752,2–4 hours,190,0.04004, Recently active
954652,Gen X,Germany,Free,2022–2025 Mature,1,< 2 years,0.20340,0.33686,0.54026,2–4 hours,295,0.80822,Likely churned
944395,Millennials,Brazil,Free,2010–2012 Early adopters,16,10+ years,0.27882,0.50114,0.77996,2–4 hours,232,0.03973, Recently active
1431790,Gen X,United Kingdom,Business,2010–2012 Early adopters,15,10+ years,0.35337,0.54876,0.90213,2–4 hours,290,0.05297, Recently active
1223663,Millennials,Other,Free,2019–2021 Monetization,6,5–7 years,0.35532,0.72457,1.07989,4–6 hours,296,0.13516, Recently active
760516,Millennials,India,Free,2022–2025 Mature,4,2–4 years,0.29270,0.49657,0.78928,2–4 hours,190,0.13014, Recently active
1365303,Boomers,United Kingdom,Premium,2010–2012 Early adopters,15,10+ years,0.24035,0.53390,0.77425,2–4 hours,300,0.05479, Recently active
198365,Gen Z,Germany,Free,2022–2025 Mature,1,< 2 years,0.39406,0.69086,1.08492,4–6 hours,155,0.42466,Active
1287101,Gen X,Other,Business,2019–2021 Monetization,5,5–7 years,0.27004,0.44390,0.71395,2–4 hours,24,0.01315, Recently active
989988,Gen X,United States,Free,2022–2025 Mature,4,2–4 years,0.32145,0.60362,0.92507,2–4 hours,65,0.04452, Recently active
247650,Gen X,Other,Free,2016–2018 Expansion,9,8–10 years,0.35295,0.57257,0.92552,4–6 hours,237,0.07215, Recently active
1426538,Gen X,Brazil,Free,2019–2021 Monetization,5,5–7 years,0.09384,0.13362,0.22746,<1 hour,26,0.01425, Recently active
1375090,Millennials,United States,Free,2010–2012 Early adopters,15,10+ years,0.23868,0.30143,0.54011,1–2 hours,4,0.00073, Recently active
461174,Gen Z,Other,Free,2010–2012 Early adopters,16,10+ years,0.47724,0.67543,1.15267,4–6 hours,185,0.03168, Recently active
1358722,Millennials,Japan,Free,2019–2021 Monetization,5,5–7 years,0.28712,0.47181,0.75893,2–4 hours,246,0.13479, Recently active
869907,Gen X,United States,Free,2013–2015 Growth,12,10+ years,0.26158,0.42657,0.68815,2–4 hours,259,0.05913, Recently active
1004502,Boomers,United Kingdom,Free,2016–2018 Expansion,8,8–10 years,0.23576,0.29752,0.53329,1–2 hours,88,0.03014, Recently active
1179874,Gen X,Other,Premium,2010–2012 Early adopters,16,10+ years,0.12802,0.14238,0.27040,<1 hour,271,0.04640, Recently active
1165393,Gen Z,Brazil,Business,2016–2018 Expansion,10,8–10 years,0.55278,0.76000,1.31278,6+ hours,242,0.06630, Recently active
194464,Millennials,India,Premium,2022–2025 Mature,1,< 2 years,0.38029,0.67848,1.05877,4–6 hours,77,0.21096, Recently active
1528115,Gen X,Other,Premium,2010–2012 Early adopters,15,10+ years,0.45999,0.69724,1.15723,4–6 hours,44,0.00804, Recently active
652217,Boomers,United Kingdom,Free,2010–2012 Early adopters,16,10+ years,0.40394,0.74914,1.15308,4–6 hours,51,0.00873, Recently active
676544,Millennials,Other,Premium,2013–2015 Growth,13,10+ years,0.15632,0.24895,0.40527,<1 hour,301,0.06344, Recently active
1188130,Boomers,Canada,Free,2010–2012 Early adopters,15,10+ years,0.15217,0.24895,0.40112,1–2 hours,129,0.02356, Recently active
180800,Gen X,India,Free,2022–2025 Mature,4,2–4 years,0.46293,0.68114,1.14408,4–6 hours,269,0.18425, Recently active
77183,Gen Z,United States,Free,2019–2021 Monetization,5,5–7 years,0.34848,0.64333,0.99182,2–4 hours,162,0.08877, Recently active
117190,Gen X,United States,Business,2016–2018 Expansion,9,8–10 years,0.39559,0.56819,0.96378,2–4 hours,305,0.09285, Recently active
147915,Millennials,Other,Free,2022–2025 Mature,1,< 2 years,0.22270,0.47267,0.69537,2–4 hours,131,0.35890,Active
255764,Gen Z,Brazil,Free,2016–2018 Expansion,8,8–10 years,0.40586,0.73286,1.13872,4–6 hours,327,0.11199, Recently active
1546354,Gen X,India,Free,2022–2025 Mature,2,2–4 years,0.21506,0.37448,0.58954,2–4 hours,340,0.46575,Active
1166014,Millennials,Brazil,Free,2013–2015 Growth,12,10+ years,0.23437,0.50533,0.73970,2–4 hours,263,0.06005, Recently active
756150,Boomers,India,Free,2010–2012 Early adopters,14,10+ years,0.07357,0.12200,0.19557,<1 hour,121,0.02368, Recently active
866920,Millennials,India,Free,2013–2015 Growth,12,10+ years,0.20508,0.31924,0.52432,1–2 hours,16,0.00365, Recently active
1166833,Millennials,India,Free,2022–2025 Mature,1,< 2 years,0.17285,0.25124,0.42409,<1 hour,359,0.98356,Likely churned
133344,Boomers,United Kingdom,Business,2010–2012 Early adopters,15,10+ years,0.10621,0.19981,0.30602,<1 hour,286,0.05224, Recently active
682826,Gen Z,Canada,Free,2010–2012 Early adopters,16,10+ years,0.35602,0.49029,0.84631,2–4 hours,208,0.03562, Recently active
1073690,Gen X,India,Free,2019–2021 Monetization,5,5–7 years,0.16119,0.28514,0.44633,1–2 hours,307,0.16822, Recently active
1357202,Gen Z,United States,Free,2016–2018 Expansion,10,8–10 years,0.33698,0.54610,0.88307,2–4 hours,24,0.00658, Recently active
461821,Gen X,Canada,Free,2013–2015 Growth,13,10+ years,0.08691,0.12629,0.21320,<1 hour,42,0.00885, Recently active
149170,Gen Z,Australia,Free,2013–2015 Growth,13,10+ years,0.26478,0.40571,0.67049,2–4 hours,346,0.07292, Recently active
127789,Gen Z,Brazil,Free,2013–2015 Growth,12,10+ years,0.43613,0.62486,1.06099,4–6 hours,285,0.06507, Recently active
1477076,Millennials,Canada,Free,2013–2015 Growth,13,10+ years,0.42016,0.57610,0.99625,4–6 hours,126,0.02655, Recently active
923823,Gen X,India,Free,2016–2018 Expansion,8,8–10 years,0.34004,0.62286,0.96290,2–4 hours,15,0.00514, Recently active
148228,Millennials,United States,Business,2022–2025 Mature,3,2–4 years,0.13245,0.30514,0.43759,1–2 hours,111,0.10137, Recently active
606455,Gen Z,Japan,Free,2022–2025 Mature,4,2–4 years,0.31160,0.37943,0.69102,2–4 hours,184,0.12603, Recently active
1433778,Millennials,Japan,Premium,2013–2015 Growth,13,10+ years,0.32989,0.47952,0.80942,2–4 hours,256,0.05395, Recently active
1404674,Millennials,Other,Free,2019–2021 Monetization,7,5–7 years,0.21367,0.40286,0.61653,2–4 hours,342,0.13386, Recently active
531640,Gen Z,Canada,Premium,2010–2012 Early adopters,16,10+ years,0.22578,0.44314,0.66892,2–4 hours,85,0.01455, Recently active
1094101,Millennials,Australia,Business,2019–2021 Monetization,6,5–7 years,0.18800,0.35514,0.54314,2–4 hours,250,0.11416, Recently active
865807,Gen Z,Australia,Free,2010–2012 Early adopters,16,10+ years,0.39565,0.59048,0.98612,2–4 hours,163,0.02791, Recently active
377027,Boomers,United States,Premium,2016–2018 Expansion,9,8–10 years,0.40639,0.68390,1.09030,4–6 hours,19,0.00578, Recently active
831548,Gen Z,Australia,Free,2022–2025 Mature,3,2–4 years,0.29187,0.36276,0.65463,1–2 hours,308,0.28128,Active
1396579,Millennials,United Kingdom,Free,2022–2025 Mature,4,2–4 years,0.16439,0.24990,0.41429,1–2 hours,194,0.13288, Recently active
700402,Millennials,United Kingdom,Premium,2022–2025 Mature,2,2–4 years,0.38614,0.62629,1.01243,4–6 hours,202,0.27671,Active
1199034,Gen Z,India,Free,2016–2018 Expansion,9,8–10 years,0.52807,0.74286,1.27092,4–6 hours,306,0.09315, Recently active
1234337,Gen X,Canada,Free,2019–2021 Monetization,6,5–7 years,0.12219,0.14105,0.26324,<1 hour,66,0.03014, Recently active
589932,Gen X,United Kingdom,Free,2019–2021 Monetization,6,5–7 years,0.19480,0.30610,0.50090,1–2 hours,58,0.02648, Recently active
675293,Boomers,United States,Free,2010–2012 Early adopters,16,10+ years,0.13828,0.22810,0.36638,1–2 hours,152,0.02603, Recently active
1533791,Gen X,India,Free,2016–2018 Expansion,8,8–10 years,0.10246,0.17143,0.27389,<1 hour,159,0.05445, Recently active
682059,Millennials,Other,Free,2016–2018 Expansion,8,8–10 years,0.50916,0.83267,1.34182,6+ hours,192,0.06575, Recently active
406774,Gen X,Brazil,Free,2013–2015 Growth,13,10+ years,0.45691,0.74638,1.20330,6+ hours,194,0.04089, Recently active
841423,Gen X,Japan,Free,2019–2021 Monetization,5,5–7 years,0.13191,0.32886,0.46076,1–2 hours,21,0.01151, Recently active
808113,Millennials,South Korea,Free,2013–2015 Growth,11,10+ years,0.28839,0.43190,0.72029,2–4 hours,26,0.00648, Recently active
1420798,Gen Z,Other,Free,2019–2021 Monetization,5,5–7 years,0.42180,0.78429,1.20609,6+ hours,237,0.12986, Recently active
1418843,Gen X,United Kingdom,Premium,2019–2021 Monetization,7,5–7 years,0.50347,0.74352,1.24699,4–6 hours,-1,-0.00039, Recently active
937096,Boomers,India,Free,2019–2021 Monetization,7,5–7 years,0.06775,0.12914,0.19689,<1 hour,274,0.10724, Recently active
709281,Gen X,United States,Free,2022–2025 Mature,4,2–4 years,0.20548,0.41238,0.61786,2–4 hours,55,0.03767, Recently active
628719,Millennials,United States,Free,2019–2021 Monetization,6,5–7 years,0.37975,0.69733,1.07709,4–6 hours,56,0.02557, Recently active
1139483,Gen Z,United Kingdom,Business,2022–2025 Mature,3,2–4 years,0.33462,0.51981,0.85443,2–4 hours,275,0.25114,Active
1402172,Millennials,United Kingdom,Premium,2019–2021 Monetization,6,5–7 years,0.26604,0.50686,0.77289,2–4 hours,40,0.01826, Recently active
406415,Gen X,United Kingdom,Free,2022–2025 Mature,3,2–4 years,0.23285,0.29324,0.52609,1–2 hours,176,0.16073, Recently active
282441,Gen X,United States,Free,2019–2021 Monetization,6,5–7 years,0.17078,0.26352,0.43430,1–2 hours,165,0.07534, Recently active
1432369,Gen X,United Kingdom,Business,2010–2012 Early adopters,15,10+ years,0.34505,0.55152,0.89658,2–4 hours,130,0.02374, Recently active
485892,Millennials,South Korea,Free,2022–2025 Mature,3,2–4 years,0.41378,0.68771,1.10149,4–6 hours,193,0.17626, Recently active
1467748,Millennials,United States,Free,2010–2012 Early adopters,15,10+ years,0.44184,0.73352,1.17536,6+ hours,209,0.03817, Recently active
650799,Gen X,Brazil,Free,2016–2018 Expansion,10,8–10 years,0.28976,0.55724,0.84700,2–4 hours,183,0.05014, Recently active
1052324,Gen Z,Japan,Free,2016–2018 Expansion,9,8–10 years,0.23327,0.36381,0.59708,1–2 hours,328,0.09985, Recently active
1424019,Boomers,Brazil,Free,2022–2025 Mature,3,2–4 years,0.44543,0.73067,1.17610,6+ hours,320,0.29224,Active
684413,Millennials,United States,Free,2022–2025 Mature,2,2–4 years,0.08914,0.25238,0.34152,<1 hour,96,0.13151, Recently active
944525,Millennials,Japan,Premium,2016–2018 Expansion,8,8–10 years,0.07262,0.13162,0.20423,<1 hour,140,0.04795, Recently active
550180,Gen Z,Brazil,Premium,2022–2025 Mature,3,2–4 years,0.40520,0.63400,1.03920,2–4 hours,24,0.02192, Recently active
1345652,Gen X,Other,Free,2022–2025 Mature,2,2–4 years,0.12983,0.27876,0.40859,1–2 hours,323,0.44247,Active
266553,Gen Z,United Kingdom,Business,2016–2018 Expansion,8,8–10 years,0.28755,0.35229,0.63984,1–2 hours,56,0.01918, Recently active
1535595,Gen Z,United States,Free,2019–2021 Monetization,7,5–7 years,0.15591,0.43886,0.59477,2–4 hours,183,0.07162, Recently active
777525,Millennials,United States,Business,2022–2025 Mature,3,2–4 years,0.35256,0.50048,0.85304,2–4 hours,77,0.07032, Recently active
1087634,Gen Z,United States,Business,2010–2012 Early adopters,14,10+ years,0.62680,0.85000,1.47680,6+ hours,91,0.01781, Recently active
1189394,Gen X,United Kingdom,Free,2010–2012 Early adopters,14,10+ years,0.18162,0.36467,0.54629,2–4 hours,70,0.01370, Recently active
373131,Gen X,Australia,Free,2010–2012 Early adopters,16,10+ years,0.26533,0.52286,0.78819,2–4 hours,227,0.03887, Recently active
1119731,Gen X,United States,Business,2013–2015 Growth,13,10+ years,0.13230,0.19495,0.32726,<1 hour,260,0.05479, Recently active
780183,Gen Z,Other,Free,2022–2025 Mature,1,< 2 years,0.22677,0.22667,0.45344,<1 hour,130,0.35616,Active
86227,Gen Z,United States,Premium,2013–2015 Growth,12,10+ years,0.49115,0.61619,1.10734,2–4 hours,79,0.01804, Recently active
1106840,Gen Z,Germany,Free,2019–2021 Monetization,5,5–7 years,0.46199,0.75276,1.21475,4–6 hours,-2,-0.00110, Recently active
1449846,Gen X,Australia,Free,2013–2015 Growth,12,10+ years,0.26213,0.48010,0.74222,2–4 hours,165,0.03767, Recently active
477894,Millennials,United States,Free,2019–2021 Monetization,6,5–7 years,0.13439,0.16238,0.29677,<1 hour,85,0.03881, Recently active
1423997,Millennials,India,Business,2010–2012 Early adopters,15,10+ years,0.40778,0.65305,1.06083,4–6 hours,322,0.05881, Recently active
628960,Millennials,Brazil,Free,2022–2025 Mature,3,2–4 years,0.33478,0.56133,0.89611,2–4 hours,207,0.18904, Recently active
1505781,Gen X,India,Free,2019–2021 Monetization,5,5–7 years,0.12496,0.31162,0.43657,1–2 hours,299,0.16384, Recently active
950587,Gen Z,Germany,Free,2010–2012 Early adopters,14,10+ years,0.19146,0.36429,0.55575,1–2 hours,348,0.06810, Recently active
1139362,Gen X,United Kingdom,Free,2013–2015 Growth,11,10+ years,0.38073,0.50286,0.88358,2–4 hours,136,0.03387, Recently active
1366941,Millennials,United States,Free,2016–2018 Expansion,9,8–10 years,0.10399,0.12295,0.22694,<1 hour,205,0.06240, Recently active
508181,Millennials,India,Free,2022–2025 Mature,1,< 2 years,0.35990,0.61667,0.97657,4–6 hours,219,0.60000,At risk
282180,Gen X,Brazil,Free,2022–2025 Mature,2,2–4 years,0.31933,0.60867,0.92799,4–6 hours,298,0.40822,Active
1171581,Gen X,Japan,Free,2022–2025 Mature,3,2–4 years,0.25687,0.42143,0.67830,2–4 hours,0,0.00000, Recently active
144282,Gen Z,Other,Free,2013–2015 Growth,12,10+ years,0.31867,0.55019,0.86886,2–4 hours,146,0.03333, Recently active
315690,Gen Z,United States,Business,2022–2025 Mature,4,2–4 years,0.27590,0.35343,0.62933,1–2 hours,65,0.04452, Recently active
1292378,Gen X,Germany,Free,2010–2012 Early adopters,16,10+ years,0.51986,0.85314,1.37300,6+ hours,316,0.05411, Recently active
1406555,Boomers,United States,Free,2013–2015 Growth,13,10+ years,0.24863,0.32152,0.57016,1–2 hours,40,0.00843, Recently active
1098632,Millennials,Brazil,Free,2016–2018 Expansion,9,8–10 years,0.46473,0.81543,1.28015,6+ hours,262,0.07976, Recently active
1387763,Gen Z,United States,Business,2016–2018 Expansion,8,8–10 years,0.28716,0.48171,0.76888,2–4 hours,255,0.08733, Recently active
1431899,Gen Z,United States,Free,2016–2018 Expansion,8,8–10 years,0.59106,0.83000,1.42106,6+ hours,36,0.01233, Recently active
1531690,Gen X,Other,Free,2022–2025 Mature,4,2–4 years,0.38391,0.65448,1.03839,4–6 hours,50,0.03425, Recently active
21549,Millennials,United States,Free,2016–2018 Expansion,8,8–10 years,0.14897,0.47276,0.62173,2–4 hours,14,0.00479, Recently active
373806,Gen X,Australia,Free,2013–2015 Growth,12,10+ years,0.12746,0.20057,0.32803,<1 hour,18,0.00411, Recently active
