user_id,app_name,age,gender,country,urban_rural,income_level,employment_status,education_level,relationship_status,has_children,exercise_hours_per_week,sleep_hours_per_night,diet_quality,smoking,alcohol_frequency,perceived_stress_score,self_reported_happiness,body_mass_index,blood_pressure_systolic,blood_pressure_diastolic,daily_steps_count,weekly_work_hours,hobbies_count,social_events_per_month,books_read_per_year,volunteer_hours_per_month,travel_frequency_per_year,daily_active_minutes_instagram,sessions_per_day,posts_created_per_week,reels_watched_per_day,stories_viewed_per_day,likes_given_per_day,comments_written_per_day,dms_sent_per_week,dms_received_per_week,ads_viewed_per_day,ads_clicked_per_day,time_on_feed_per_day,time_on_explore_per_day,time_on_messages_per_day,time_on_reels_per_day,followers_count,following_count,uses_premium_features,notification_response_rate,account_creation_year,last_login_date,average_session_length_minutes,content_type_preference,preferred_content_theme,privacy_setting_level,two_factor_auth_enabled,biometric_login_used,linked_accounts_count,subscription_status,user_engagement_score
1084309,Instagram,34,Male,India,Urban,Middle,Full-time employed,High school,Single,f,1.7,7.0,Poor,No,Rarely,5,2,23.5,135,70,7941,26.3,7,4,9,1.1,7,155.0,19,3,128,90,117,31,25,26,14,4,66,39,22,40,4416,2929,t,0.54,2019,2025-07-31,8.2,Reels,Art,Public,t,f,1,Free,1.21
1190576,Instagram,53,Female,United States,Urban,Lower-middle,Full-time employed,High school,In a relationship,t,5.0,7.1,Excellent,No,Rarely,38,3,20.1,102,83,7917,49.4,1,2,10,8.7,1,345.0,18,6,215,150,187,51,52,51,30,7,166,56,67,92,512,499,f,0.6,2011,2025-10-13,19.2,Live,Tech,Friends only,f,f,3,Free,0.89
404498,Instagram,21,Male,United States,Urban,Upper-middle,Full-time employed,Some college,In a relationship,f,1.8,6.6,Very poor,No,Weekly,19,4,27.5,96,64,7820,37.4,0,4,8,6.0,2,205.0,7,12,253,108,145,35,35,31,24,6,106,35,37,64,1429,1389,f,0.3,2022,2025-06-19,29.3,Photos,Music,Public,f,t,1,Premium,1.22
1503975,Instagram,14,Male,United States,Rural,Upper-middle,Student,Bachelor’s,In a relationship,f,8.4,6.6,Very poor,No,Never,21,5,15.0,156,68,7904,33.1,2,1,7,4.3,5,224.0,14,12,253,117,165,43,35,29,26,7,134,33,26,56,1997,4583,f,0.12,2011,2025-11-22,16.0,Live,Music,Private,f,f,1,Free,1.28
1382914,Instagram,61,Female,United States,Urban,Low,Freelancer,Bachelor’s,Single,t,8.8,8.4,Very poor,Yes,Several times a week,28,6,31.1,159,94,7948,35.5,3,3,8,3.1,2,196.0,7,2,158,105,129,40,21,31,24,7,117,23,44,59,154,76,f,0.6,2020,2025-08-02,28.0,Stories,Food,Friends only,t,t,2,Free,1.09
479556,Instagram,53,Female,Canada,Suburban,Middle,Student,Some college,Widowed,f,12.8,8.4,Average,No,Never,40,9,28.2,131,74,7937,45.9,4,1,20,3.9,2,226.0,21,4,201,108,150,35,36,36,24,3,105,30,33,65,2602,2164,f,0.29,2011,2025-04-24,10.8,Stories,Music,Public,f,t,1,Free,1.02
72065,Instagram,22,Male,Other,Urban,Low,Student,Master’s,In a relationship,f,9.9,9.9,Good,No,Daily,37,4,30.2,110,81,7883,36.0,5,3,16,6.2,1,411.0,24,12,300,150,231,69,52,51,29,17,204,117,88,84,3853,9270,f,0.14,2020,2025-09-10,17.1,Stories,Music,Friends only,t,t,3,Free,0.98
447586,Instagram,34,Female,Other,Urban,Middle,Part-time,Bachelor’s,In a relationship,t,2.6,7.2,Average,Former,Weekly,23,7,20.8,99,63,8065,36.6,5,2,11,1.6,1,218.0,16,13,182,120,133,40,38,32,32,3,113,37,23,65,10885,5172,f,0.41,2022,2025-07-25,13.6,Stories,Travel,Friends only,t,t,2,Premium,1.15
1119061,Instagram,23,Female,United States,Suburban,Middle,Student,Some college,In a relationship,f,13.8,5.5,Good,No,Weekly,37,3,26.3,130,82,8071,37.3,3,5,5,5.1,6,393.0,15,14,300,150,224,61,46,60,24,8,197,67,90,142,1005,719,f,0.48,2014,2025-07-06,26.2,Videos,Travel,Friends only,f,f,2,Free,0.98
1128996,Instagram,64,Male,India,Urban,Lower-middle,Unemployed,Bachelor’s,Married,t,3.2,5.7,Good,No,Never,4,2,23.5,135,63,8080,38.8,5,5,5,4.3,1,58.0,4,3,91,53,49,17,20,25,6,2,29,14,12,13,1522,3055,f,0.96,2010,2025-07-26,14.5,Photos,Art,Public,f,f,4,Free,1.56
2115,Instagram,64,Female,Brazil,Rural,High,Student,Bachelor’s,Single,f,8.8,8.5,Poor,No,Never,9,2,31.5,106,76,8117,25.1,2,4,14,9.9,5,158.0,5,1,146,80,110,32,29,33,20,5,76,26,27,49,381,895,f,0.9,2024,2025-02-01,31.6,Photos,Fitness,Friends only,f,f,0,Free,1.11
436244,Instagram,21,Female,Other,Urban,High,Student,High school,Married,t,11.0,6.7,Very poor,No,Rarely,7,4,24.3,120,93,7967,50.2,3,2,16,4.5,3,118.0,9,7,180,73,85,23,18,25,13,6,67,14,15,46,19253,10000,f,0.7,2022,2025-10-12,13.1,Videos,Other,Private,t,t,4,Free,1.28
1234332,Instagram,30,Male,United Kingdom,Urban,Middle,Full-time employed,PhD,Single,f,2.5,5.5,Average,Yes,Weekly,22,3,21.5,102,92,8008,20.5,5,5,16,4.1,2,219.0,14,8,192,125,117,46,34,41,25,7,109,63,49,56,1868,1188,f,0.26,2011,2025-08-03,15.6,Mixed,Other,Private,t,t,3,Free,1.06
168157,Instagram,31,Female,Other,Urban,Middle,Full-time employed,High school,In a relationship,t,6.8,8.2,Average,No,Rarely,37,6,23.5,136,67,7913,38.2,3,5,12,2.6,1,337.0,11,5,236,150,170,55,40,49,34,6,199,67,40,72,301,403,f,0.05,2021,2025-12-05,30.6,Videos,Tech,Private,t,f,4,Free,0.87
